Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
320	-15722.4	-15706.2	-16.1989	0.0985309	0.0985538	0.104002	0.0968775	0.131205	0.102426	0.0822723	0.113451	0.0873447	0.0775655	0.0988848	0.146535	0.0721084	0.0900603	0.118194	0.114125	0.172298	0.0780423	0.119193	0.112591	0.0584513	0.102136	0.0749024	0.0226105	0.0518704	0.0226353	0.0311495	0.0149372	0.0447954	0.0524534	0.0262406	0.0318884	0.0181458	0.0509842	0.00975857	0.0792619	0.0207067	0.0227539	0.0442853	0.0302017	0.0223414	0.0337428	0.0576339	3.03815
330	-15734.1	-15717.3	-16.8474	0.0944407	0.105334	0.124742	0.0885941	0.148444	0.120902	0.0741493	0.117249	0.0941161	0.0600993	0.0718791	0.11493	0.0714241	0.117945	0.113442	0.124119	0.173977	0.0780423	0.118464	0.119059	0.0545541	0.0970023	0.080047	0.019061	0.0582857	0.0268702	0.0425562	0.0247811	0.0446398	0.0414485	0.0219153	0.0378978	0.0282345	0.0425785	0.0118713	0.0686728	0.0381833	0.0329521	0.034554	0.0429877	0.0304471	0.0428435	0.049257	3.10299
340	-15729	-15712.8	-16.1731	0.078383	0.120339	0.102526	0.0780966	0.131756	0.084172	0.0693907	0.125511	0.108111	0.0791447	0.0773847	0.14787	0.0759677	0.0870307	0.110019	0.117587	0.195835	0.0757784	0.119559	0.101546	0.0647437	0.100393	0.0787229	0.00982486	0.0713291	0.027797	0.0296935	0.00642963	0.0476799	0.0289042	0.0271411	0.0369253	0.0278037	0.0408285	0.0206754	0.0775654	0.025738	0.0372085	0.0326663	0.0378055	0.0304471	0.0247733	0.0644647	3.03557
350	-15722	-15705	-17.0505	0.103734	0.101304	0.0978422	0.0707499	0.119146	0.0979846	0.0800847	0.130125	0.110048	0.0811029	0.0924068	0.157435	0.0892805	0.109876	0.136206	0.117907	0.166068	0.0859107	0.127554	0.142934	0.0590504	0.103572	0.0747408	0.0136981	0.066722	0.0163666	0.0222238	0.0220532	0.0392995	0.0471182	0.0212527	0.0271247	0.0115091	0.0582646	0.0174983	0.0705719	0.0240546	0.023779	0.0480197	0.0332475	0.0270048	0.0312941	0.0471416	3.12331
360	-15720.6	-15704.6	-15.9618	0.0734778	0.10488	0.118667	0.0827552	0.13392	0.097882	0.068282	0.117601	0.109516	0.0557965	0.0895085	0.138859	0.0774128	0.0968878	0.112031	0.109621	0.150018	0.0781276	0.103767	0.120336	0.0656728	0.0941745	0.0942881	0.0143235	0.0581095	0.0350605	0.0276781	0.0241405	0.0502015	0.0417205	0.0210248	0.0319463	0.0264968	0.0655444	0.0297867	0.0677838	0.0283188	0.0187651	0.0417136	0.0321623	0.0270048	0.024928	0.0542377	3.01443
370	-15728.7	-15713.3	-15.3751	0.0711948	0.114893	0.0984234	0.0635516	0.148626	0.101888	0.065696	0.113026	0.0941322	0.0780482	0.0757673	0.132061	0.0800092	0.10603	0.129585	0.122176	0.13256	0.0813997	0.126837	0.139657	0.0666174	0.0941745	0.0732366	0.00942646	0.0579186	0.0350605	0.0218072	0.0288844	0.0313683	0.03581	0.0182383	0.0250277	0.0204055	0.0536159	0.0227581	0.0646992	0.0194006	0.0158989	0.0542415	0.0229854	0.0344664	0.031356	0.0428063	2.95577
380	-15728.5	-15713.4	-15.095	0.0933272	0.088948	0.103641	0.0900722	0.106228	0.0825673	0.0742328	0.111459	0.083319	0.0806901	0.0745361	0.129367	0.0843304	0.0924567	0.0926816	0.105645	0.148478	0.0762014	0.130762	0.114861	0.0547087	0.100602	0.0707534	0.0214481	0.0579186	0.0238066	0.0314263	0.0196129	0.0386624	0.0544984	0.0243762	0.040394	0.0285074	0.0664003	0.0104646	0.0637737	0.0349808	0.0406007	0.0333486	0.0381102	0.0323694	0.043225	0.0339606	2.92775
390	-15734.2	-15718.6	-15.6119	0.0605816	0.101542	0.108791	0.0597811	0.116181	0.0943921	0.0644118	0.125139	0.0875722	0.104679	0.0739165	0.137617	0.0855152	0.0900845	0.116104	0.129815	0.160637	0.0698459	0.114765	0.130529	0.0607575	0.0839543	0.104882	0.011518	0.0876496	0.0480025	0.0360016	0.0128288	0.0378681	0.0349148	0.0226511	0.0236578	0.0197448	0.0359922	0.00987228	0.077616	0.0269262	0.0244376	0.0570958	0.0319839	0.0275624	0.0301097	0.041518	2.97945
400	-15728.1	-15712.3	-15.8432	0.0919813	0.109316	0.0920352	0.0861197	0.125613	0.0755632	0.0817991	0.145836	0.104757	0.0703724	0.0536932	0.137471	0.0670417	0.100179	0.110412	0.118411	0.186917	0.0723237	0.0977546	0.140648	0.0603565	0.0848614	0.0755237	0.0215207	0.0554577	0.03879	0.0231583	0.00558844	0.0519206	0.0467554	0.0358146	0.0358734	0.0206986	0.0513727	0.0218438	0.0730061	0.0281555	0.0176552	0.0480977	0.0315736	0.0279531	0.035291	0.0430638	3.00258
410	-15729.3	-15712.9	-16.3499	0.102061	0.0972099	0.122783	0.0810619	0.13782	0.101397	0.0853379	0.126165	0.0705023	0.0813247	0.0882881	0.158858	0.0891671	0.100179	0.108094	0.151327	0.136749	0.0718385	0.104496	0.105694	0.0687731	0.103141	0.081054	0.022861	0.0636447	0.0255269	0.0263362	0.0218761	0.0397304	0.0348293	0.0273646	0.0289135	0.0241655	0.058699	0.0326806	0.0658713	0.0253003	0.0272579	0.0407731	0.0262711	0.0176608	0.0373198	0.0328375	3.05324
