Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
450	-22119.1	-22046.1	-73.0322	1.17523	0.582743	0.611311	1.21516	0.742237	0.217712	0.95801	0.000529913	0.922782	0.142638	0.428589	0.00446463	0.370144	0.391416	0.0732617	0.554324	0.58689	0.269835	0.0682214	0.638314	0.449304	10.4031
460	-22116.3	-22045.5	-70.7767	1.24448	0.651258	0.616679	1.06094	0.937237	0.259818	0.782478	0.00120083	0.912363	0.143001	0.420868	0.00330619	0.425806	0.352309	0.127904	0.412733	0.516607	0.122752	0.131042	0.605661	0.449125	10.1776
470	-22127	-22048.7	-78.3014	1.49172	0.508583	0.57275	1.32018	0.839781	0.330779	0.832497	0.00333064	1.13121	0.1183	0.383669	0.00502156	0.370718	0.221984	0.275103	0.487285	0.7806	0.107367	0.0795288	0.57632	0.493316	10.93
480	-22116.6	-22043.4	-73.154	1.26255	0.537786	0.622795	1.17707	0.967198	0.286845	0.821403	0.00333064	0.868668	0.184328	0.40658	0.00169653	0.374106	0.400892	0.134343	0.521639	0.678684	0.0614007	0.0749135	0.634446	0.394627	10.4153
490	-22119.8	-22043.5	-76.335	1.35911	0.610086	0.670672	1.23358	0.829468	0.283154	0.901361	0.0006284	0.946834	0.172278	0.457521	0.00234876	0.249443	0.507912	0.119359	0.590384	0.693495	0.0465988	0.059524	0.58287	0.416781	10.7334
500	-22122.2	-22047.4	-74.7438	1.25945	0.632561	0.648845	1.18918	1.01265	0.358914	0.977857	0.00166416	0.86408	0.146185	0.369123	0.00219232	0.181781	0.189748	0.29613	0.457625	0.664872	0.137791	0.196034	0.538533	0.449064	10.5743
510	-22129.5	-22056	-73.53	1.36423	0.68297	0.568316	1.20811	0.829312	0.269532	0.798963	0.00481928	1.00043	0.196277	0.436132	0.00173282	0.218575	0.329458	0.355075	0.604604	0.315315	0.10515	0.183203	0.599555	0.381148	10.4529
520	-22123.8	-22048	-75.8054	1.22748	0.575043	0.591304	1.32524	0.796594	0.298996	1.04318	0.00436577	0.934802	0.1675	0.455473	0.00186725	0.607063	0.383721	0.126331	0.382554	0.379214	0.114638	0.263422	0.593634	0.408007	10.6804
530	-22125.8	-22048.5	-77.3002	1.22851	0.562802	0.778873	1.30173	0.950355	0.387992	0.87236	0.00191443	0.890843	0.112452	0.419436	0.00584907	0.534533	0.264034	0.157602	0.388733	0.551541	0.152251	0.246567	0.554965	0.466583	10.8299
540	-22124.6	-22050.1	-74.4444	1.08743	0.502496	0.782457	1.22366	1.02092	0.28982	0.823101	0.00466013	0.810581	0.177699	0.375678	0.00118063	0.448716	0.331255	0.0851047	0.364427	0.67492	0.231211	0.168403	0.709883	0.430734	10.5443
