Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
52	-22051.6	-21980.5	-71.1346	1.0198	0.590704	0.516079	1.37299	0.912094	0.227022	0.971973	0.00160966	0.745783	0.194002	0.523218	0.00275844	0.618164	0.399384	0.424869	0.0129381	0.566113	0.484968	0.15435	0.141811	0.33273	10.2134
53	-22048.5	-21973.1	-75.3841	1.16251	0.626953	0.506331	1.32873	0.955172	0.269676	1.03546	0.00237411	1.04203	0.209985	0.448885	0.00191823	0.585101	0.195781	0.379534	0.0688281	0.429576	0.584614	0.15753	0.0657235	0.581587	10.6383
54	-22048.4	-21978.8	-69.6273	1.2102	0.554001	0.638672	1.30431	0.737485	0.240151	0.87579	0.00220601	0.84798	0.157584	0.479804	0.00399154	0.600972	0.388439	0.425472	0.117455	0.369796	0.52335	0.127751	0.0403853	0.416839	10.0626
55	-22050.2	-21976.5	-73.7283	1.03363	0.761242	0.60894	1.3404	0.959388	0.304186	0.937089	0.00323937	0.883155	0.192498	0.44874	0.00138598	0.509085	0.25402	0.373461	0.145239	0.530055	0.37851	0.16728	0.260394	0.380801	10.4727
56	-22048.5	-21973	-75.5333	1.33311	0.657916	0.606009	1.26076	0.969735	0.303993	0.91628	0.0022797	0.926539	0.153862	0.413377	0.0050093	0.675922	0.257232	0.479543	0.137035	0.328949	0.549964	0.0437563	0.25236	0.379601	10.6532
57	-22046.7	-21974.5	-72.1988	1.22811	0.513652	0.716706	1.21673	0.954807	0.328298	0.805918	0.00086475	1.00641	0.125384	0.459399	0.00367716	0.596624	0.257232	0.46503	0.136151	0.346648	0.458194	0.187317	0.0516736	0.460958	10.3198
58	-22052.2	-21979.3	-72.9053	1.39819	0.554858	0.632935	1.28936	1.00362	0.351402	0.889211	0.00264684	0.849311	0.158712	0.293358	0.00336853	0.686028	0.220434	0.411719	0.030956	0.459004	0.407088	0.203951	0.0478502	0.496421	10.3904
59	-22045.8	-21971.9	-73.8363	1.25042	0.520808	0.802531	1.27097	0.834928	0.28062	0.889211	0.000433642	0.968621	0.176118	0.420579	0.00577348	0.597321	0.265216	0.394238	0.0549526	0.510797	0.589202	0.202096	0.146433	0.302251	10.4835
60	-22058.5	-21982.7	-75.7447	1.11702	0.580407	0.648862	1.23074	0.766497	0.242561	0.861289	0.000537985	1.17932	0.238279	0.486205	0.0051175	0.496578	0.265216	0.344103	0.130196	0.501174	0.743826	0.258715	0.215664	0.362063	10.6744
61	-22055.4	-21975.9	-79.5431	1.24604	0.67617	0.794957	1.19208	1.07971	0.352849	1.0261	0.00131545	1.05634	0.184465	0.425472	0.00505631	0.559831	0.265216	0.436811	0.0496479	0.43676	0.499658	0.255905	0.114712	0.395118	11.0542
